"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.006,0.927,1.006,1.086,3851.892,1,"B_0"
"2",0.279,0.213,0.279,0.341,5564.457,1,"psi"
"3",0.157,0.094,0.155,0.226,1315.263,1.001,"Sigma2_intercept"
"4",0.011,0,0.006,0.044,861.437,1,"Sigma2_epsilon"
"5",0.089,0.052,0.087,0.138,2194.238,1,"Sigma2_phi"
"6",0.0484024746913609,0.00200209442766014,0.0470995803775979,0.0985113277460214,89509.1467307256,1.42900665008046,"cov_int_phi"
"7",0.001,-0.026,0,0.029,2977.279,1,"cov_2"
"8",0.672,0.601,0.671,0.752,2618.539,1.001,"Sigma2_e"
"9",-443.945,-482.849,-443.775,-407.631,656.522,1.001,"lp_"
"10",1.044,0.968,1.045,1.123,2347.553,1.001,"B_0"
"11",0.33,0.264,0.331,0.396,2550.605,1,"psi"
"12",0.166,0.1,0.164,0.244,1494.131,1,"Sigma2_intercept"
"13",0.026,0,0.022,0.075,469.514,1,"Sigma2_epsilon"
"14",0.159,0.095,0.156,0.241,1020.22,1,"Sigma2_phi"
"15",0.0434085263985424,-0.0245237490183806,0.0442012240379945,0.106525037638877,51223.4760313644,1.50879431654121,"cov_int_phi"
"16",-0.025,-0.067,-0.024,0.007,1060.904,1,"cov_2"
"17",0.705,0.62,0.704,0.795,1488.547,1,"Sigma2_e"
"18",-461.681,-500.771,-462.156,-420.48,584.067,1,"lp_"
"19",0.977,0.883,0.977,1.071,1662.108,1,"B_0"
"20",0.297,0.223,0.297,0.366,2747.012,1.001,"psi"
"21",0.21,0.133,0.208,0.303,1326.901,1.001,"Sigma2_intercept"
"22",0.034,0,0.031,0.091,594.107,1.003,"Sigma2_epsilon"
"23",0.124,0.072,0.12,0.192,888.58,1,"Sigma2_phi"
"24",0.0836862953500578,0.0216647521683428,0.0834013949388789,0.157350889569649,45104.7511272326,1.43919728137645,"cov_int_phi"
"25",0.024,-0.014,0.024,0.069,1222.556,1,"cov_2"
"26",0.725,0.64,0.723,0.82,1239.005,1.001,"Sigma2_e"
"27",-473.324,-516.698,-473.041,-431.302,489.776,1.003,"lp_"
"28",0.999,0.909,0.998,1.091,1212.269,1,"B_0"
"29",0.28,0.206,0.28,0.356,1298.435,1.001,"psi"
"30",0.216,0.14,0.214,0.308,1138.141,1,"Sigma2_intercept"
"31",0.022,0,0.017,0.07,389.635,1,"Sigma2_epsilon"
"32",0.098,0.053,0.094,0.164,473.884,1.001,"Sigma2_phi"
"33",0.0647291915694894,0.00519336223075424,0.061461305244353,0.137646771847591,20510.4822784672,1.44506305900037,"cov_int_phi"
