"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.014,0.864,1.014,1.164,3477.237,1,"B_0"
"2",0.431,0.295,0.431,0.566,4151.618,1,"psi"
"3",0.215,0.097,0.21,0.365,1383.276,1,"Sigma2_intercept"
"4",0.038,0,0.029,0.131,912.905,1.003,"Sigma2_epsilon"
"5",0.161459325746768,0.0578380167156317,0.152459325746768,0.343913021349646,11456151.3326033,1.66761380885529,"Sigma2_phi"
"6",0.0457202751419055,-0.0214974731358784,0.0413258723911436,0.12869756338154,28670.2275453882,1.16873089474407,"cov_int_phi"
"7",0.012,-0.037,0.008,0.071,2616.707,1,"cov_2"
"8",0.653,0.524,0.649,0.808,1698.151,1,"Sigma2_e"
"9",-162.587,-190.148,-162.681,-134.099,739.437,1.002,"lp_"
"10",1.035,0.876,1.035,1.199,1622.002,1.001,"B_0"
"11",0.46,0.323,0.46,0.603,2993.55,1,"psi"
"12",0.314,0.164,0.305,0.517,1427.203,1,"Sigma2_intercept"
"13",0.022,0,0.012,0.101,983.115,1.001,"Sigma2_epsilon"
"14",0.158717350190311,0.0674082439886812,0.148717350190311,0.33593222582868,5791015.61993381,1.647112240975,"Sigma2_phi"
"15",0.0447028281911961,-0.0363001841426716,0.0450286541577513,0.134556677860417,23218.9174725298,1.18218428450022,"cov_int_phi"
"16",-0.002,-0.06,-0.001,0.056,2728.542,1.001,"cov_2"
"17",0.786,0.648,0.782,0.951,2011.391,1,"Sigma2_e"
"18",-191.406,-215.842,-191.296,-167.052,907.467,1.001,"lp_"
"19",0.952,0.788,0.952,1.121,1643.158,1,"B_0"
"20",0.41,0.234,0.41,0.588,2852.382,1,"psi"
"21",0.225,0.095,0.217,0.392,1205.715,1,"Sigma2_intercept"
"22",0.082,0.001,0.075,0.215,678.28,1,"Sigma2_epsilon"
"23",0.170534855226566,0.0298388728898622,0.163534855226566,0.397096341376881,4285787.95912655,1.52667968605929,"Sigma2_phi"
"24",0.0520846472487261,-0.0302138527437451,0.0495629071903073,0.155056556450432,16537.2365580843,1.14955078089191,"cov_int_phi"
"25",0.023,-0.041,0.021,0.1,1725.066,1,"cov_2"
"26",0.787,0.633,0.782,0.975,1254.186,1,"Sigma2_e"
"27",-190.132,-218.7,-189.927,-163.059,621.449,1,"lp_"
"28",0.957,0.804,0.958,1.106,1856.027,1,"B_0"
"29",0.458,0.318,0.457,0.594,4194.185,1,"psi"
"30",0.222,0.103,0.215,0.377,1423.251,1.001,"Sigma2_intercept"
"31",0.021,0,0.015,0.081,1369.458,1,"Sigma2_epsilon"
"32",0.146626550348923,0.0605626288471068,0.140078561687526,0.292311614571198,10536638.8161411,1.59889471190921,"Sigma2_phi"
"33",0.0497508670036258,-0.00229438641071538,0.0443043427594193,0.129831705503806,19850.0658129075,1.11575338098637,"cov_int_phi"
"34",0.025,-0.014,0.02,0.088,1701.731,1.001,"cov_2"
"35",0.672,0.554,0.668,0.819,2207.416,1.004,"Sigma2_e"
"36",-167.928,-192.208,-167.198,-145.416,751.953,1.002,"lp_"
"37",0.925,0.785,0.925,1.06,1843.028,1,"B_0"
"38",0.416,0.262,0.415,0.569,2380.449,1,"psi"
"39",0.188,0.079,0.183,0.323,1193.757,1.001,"Sigma2_intercept"
"40",0.023,0,0.013,0.097,797.215,1.002,"Sigma2_epsilon"
"41",0.11243223664614,0.0354739879133786,0.10200279075202,0.264313877408417,2929162.1225529,1.51878206272039,"Sigma2_phi"
"42",0.0436679737342134,-0.0351305499545165,0.0449010078644537,0.125253837619536,23953.4522164059,1.26995293181629,"cov_int_phi"
"43",-0.005,-0.055,-0.003,0.038,1761.891,1,"cov_2"
"44",0.699,0.576,0.696,0.847,1697.507,1,"Sigma2_e"
"45",-174.083,-199.23,-173.77,-150.16,692.017,1.001,"lp_"
"46",0.967,0.822,0.969,1.104,2037.03,1,"B_0"
"47",0.437,0.289,0.438,0.589,2531.776,1.001,"psi"
"48",0.193,0.079,0.187,0.356,899.066,1.001,"Sigma2_intercept"
"49",0.027,0,0.016,0.113,587.982,1,"Sigma2_epsilon"
"50",0.129311963618318,0.0447465165203021,0.118780746343085,0.298863510467304,3434697.19990557,1.53682372457058,"Sigma2_phi"
"51",0.0407993215347651,-0.0291605863373127,0.0392654420364228,0.124854414273191,17652.6106073081,1.20761880804446,"cov_int_phi"
"52",0.001,-0.046,0,0.052,1915.078,1,"cov_2"
"53",0.689,0.557,0.685,0.838,1175.727,1,"Sigma2_e"
"54",-170.933,-196.784,-170.917,-144.267,524.31,1.001,"lp_"
"55",1.014,0.836,1.013,1.187,2110.687,1,"B_0"
"56",0.516,0.324,0.517,0.706,2733.507,1.003,"psi"
"57",0.279,0.136,0.272,0.472,1106.564,1,"Sigma2_intercept"
"58",0.111,0.005,0.108,0.238,638.45,1.004,"Sigma2_epsilon"
"59",0.233936271011832,0.0534697358397109,0.231413229908365,0.468138900824971,3450653.68716505,1.46849655618781,"Sigma2_phi"
"60",0.0604223900258362,-0.033347890215109,0.0580644036974202,0.173478690725692,12730.3052910542,1.12299476660095,"cov_int_phi"
"61",0.027,-0.048,0.025,0.114,1579.81,1,"cov_2"
"62",0.678,0.534,0.671,0.862,852.792,1.001,"Sigma2_e"
"63",-166.592,-202.156,-165.844,-136.532,471.725,1.004,"lp_"
"64",0.955,0.791,0.954,1.132,2427.75,1,"B_0"
"65",0.398,0.27,0.398,0.529,5228.421,1,"psi"
"66",0.395,0.235,0.385,0.613,1753.624,1,"Sigma2_intercept"
"67",0.018,0,0.01,0.08,1293.815,1.001,"Sigma2_epsilon"
"68",0.123360952604869,0.0484887594056652,0.115360952604869,0.266133647748158,18183837.7272752,1.666140732588,"Sigma2_phi"
"69",0.0438890375065252,-0.0453253753637376,0.0472152642947444,0.1315729446298,49830.5133540737,1.21143848764502,"cov_int_phi"
"70",-0.009,-0.073,-0.005,0.044,3536.713,1,"cov_2"
"71",0.657,0.54,0.655,0.79,2967.483,1.001,"Sigma2_e"
"72",-164.408,-189.181,-164.412,-140.336,920.721,1.003,"lp_"
"73",1.043,0.877,1.043,1.206,1603.932,1,"B_0"
"74",0.248,0.055,0.25,0.436,2529.698,1,"psi"
"75",0.258,0.128,0.249,0.431,1376.608,1,"Sigma2_intercept"
"76",0.073,0.001,0.067,0.192,746.312,1,"Sigma2_epsilon"
"77",0.0979069479178945,0.00222501816876351,0.0923102927430478,0.268982166548518,2592265.95940524,1.40496468388876,"Sigma2_phi"
"78",0.0515152333040965,-0.035170499142014,0.0492780711064984,0.158705698105636,19683.6956379264,1.19561418723524,"cov_int_phi"
"79",0.027,-0.039,0.025,0.103,1417.491,1.001,"cov_2"
"80",0.661,0.539,0.656,0.808,1160.225,1.001,"Sigma2_e"
"81",-164.487,-192.855,-164.181,-138.723,555.661,1.001,"lp_"
"82",0.924,0.779,0.924,1.071,1837.849,1,"B_0"
"83",0.312,0.14,0.311,0.494,2779.736,1,"psi"
"84",0.207,0.088,0.199,0.374,1562.464,1,"Sigma2_intercept"
"85",0.037,0,0.026,0.13,869.652,1,"Sigma2_epsilon"
"86",0.0826082180347842,0.00918311424927854,0.0713163261890036,0.244337268823313,3621140.13474137,1.46852623720809,"Sigma2_phi"
"87",0.0165019189685514,-0.0776132080325632,0.0196975642710728,0.109557018407754,29363.6844418632,1.25009906128144,"cov_int_phi"
"88",-0.019,-0.088,-0.015,0.034,1883.438,1,"cov_2"
"89",0.799,0.655,0.796,0.96,1921.33,1,"Sigma2_e"
"90",-193.311,-217.906,-193.284,-168.991,769.254,1,"lp_"
"91",1.063,0.882,1.062,1.252,2358.593,1,"B_0"
