"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.039,0.991,1.038,1.105,127.884,1.064,"B_0"
0.129,0.027,0.139,0.18,38.123,1.045,"B_x"
0.299,0.165,0.313,0.352,12.151,1.028,"psi"
0.203,0.17,0.204,0.235,21.4,1.069,"Sigma2_intercept"
0.122,0.079,0.127,0.14,5.707,1.273,"Sigma2_psi"
1.082,0.817,1.107,1.18,4.059,1.613,"Sigma2_x"
0.104,0.049,0.109,0.133,8.717,1.059,"Sigma2_phi"
0.004,0,0.001,0.027,16.875,1.104,"Sigma2_epsilon"
-0.082,-0.111,-0.083,-0.061,7.096,1.238,"cov_int_psi"
0.095,0.057,0.099,0.115,9.264,1.037,"cov_int_phi"
-0.072,-0.089,-0.074,-0.046,8.669,1.007,"cov_psi_phi"
-0.527,-0.703,-0.52,-0.422,3.905,1.747,"cor_1"
0.119,-0.342,0.124,0.522,52.287,1.033,"cor_2"
-0.695,-0.892,-0.773,0.026,7.428,1.273,"cor_3"
0.649,0.537,0.66,0.685,10.134,1.131,"cor_4"
-0.57,-0.659,-0.563,-0.491,11.598,1.26,"cor_5"
0.186,-0.419,0.142,0.849,11.336,1.05,"cor_6"
-0.082,-0.111,-0.083,-0.061,7.096,1.238,"cov_1"
0.003,-0.008,0.001,0.031,41.794,1.069,"cov_2"
-0.01,-0.035,-0.008,0,19.144,1.064,"cov_3"
0.304,0.212,0.315,0.334,8.92,1.159,"cov_4"
-0.206,-0.232,-0.215,-0.138,10.202,1.062,"cov_5"
0.014,-0.022,0.004,0.117,14.671,1.085,"cov_6"
0.601,0.582,0.601,0.623,216.34,1.008,"Sigma2_e"
0.101,0.097,0.101,0.106,28.609,1.013,"Sigma2_ex"
876.621,819.462,880.256,911.078,6.787,1.097,"lp__"
0.986,0.894,0.987,1.069,1716.215,1,"B_0"
0.04,-0.086,0.039,0.169,1564.106,1.001,"B_x"
0.348,0.155,0.341,0.572,62.823,1.012,"psi"
0.134,0.099,0.133,0.175,1708.97,1,"Sigma2_intercept"
0.091,0.062,0.089,0.127,2166.139,1,"Sigma2_psi"
0.828,0.68,0.822,1.005,1852.551,1,"Sigma2_x"
0.136,0.057,0.115,0.335,95.282,1.008,"Sigma2_phi"
0.027,0.006,0.022,0.079,421.189,1,"Sigma2_epsilon"
-0.064,-0.093,-0.063,-0.038,1702.202,1,"cov_int_psi"
0.057,0.033,0.056,0.085,1980.741,1,"cov_int_phi"
-0.061,-0.086,-0.06,-0.039,1846.896,1.001,"cov_psi_phi"
-0.579,-0.748,-0.585,-0.379,1473.866,1,"cor_1"
0.008,-0.467,0.001,0.486,81.258,1.008,"cor_2"
-0.395,-0.849,-0.426,0.189,113.875,1.004,"cor_3"
0.495,0.361,0.498,0.615,2113.738,1,"cor_4"
-0.468,-0.614,-0.472,-0.305,1489.774,1,"cor_5"
-0.122,-0.858,-0.13,0.713,47.621,1.012,"cor_6"
-0.064,-0.093,-0.063,-0.038,1702.202,1,"cov_1"
0,-0.039,0,0.034,78.495,1.01,"cov_2"
-0.017,-0.045,-0.017,0.013,96.07,1.004,"cov_3"
0.165,0.109,0.164,0.228,1986.726,1,"cov_4"
-0.128,-0.185,-0.126,-0.077,1841.826,1,"cov_5"
-0.021,-0.198,-0.015,0.126,58.028,1.013,"cov_6"
0.568,0.539,0.568,0.6,2978.594,1,"Sigma2_e"
0.101,0.096,0.101,0.106,6457.067,1,"Sigma2_ex"
974.236,916.662,973.945,1031.155,724.971,1,"lp__"
0.935,0.838,0.935,1.027,918.61,1.003,"B_0"
