"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.972,0.927,0.972,1.018,2913.448,1.001,"B_0"
0.283,0.249,0.283,0.318,4268.333,1,"psi"
0.216,0.179,0.215,0.258,1703.68,1.002,"Sigma2_intercept"
0.025,0.002,0.025,0.053,370.325,1,"Sigma2_epsilon"
0.115,0.084,0.116,0.149,533.773,1,"Sigma2_phi"
1.028,1.028,1.028,1.028,0.5,1,"Sigma2_x"
0.059,0.037,0.058,0.081,2751.627,1,"cov_int_phi"
0.013,-0.009,0.013,0.037,2173.944,1,"cov_2"
0.713,0.667,0.712,0.76,999.627,1,"Sigma2_e"
-1858.374,-1951.845,-1857.719,-1766.185,430.505,1,"lp__"
0.98,0.938,0.981,1.024,3766.373,1,"B_0"
0.288,0.254,0.288,0.322,4521.058,1,"psi"
0.198,0.161,0.197,0.239,1477.699,1.002,"Sigma2_intercept"
0.005,0,0.003,0.021,580.507,1.005,"Sigma2_epsilon"
0.084,0.065,0.083,0.106,1606.562,1.001,"Sigma2_phi"
0.925,0.925,0.925,0.925,0.5,1,"Sigma2_x"
0.042,0.027,0.041,0.061,2254.759,1.001,"cov_int_phi"
0.005,-0.01,0.003,0.023,1987.787,1,"cov_2"
0.717,0.677,0.716,0.76,2294.088,1.001,"Sigma2_e"
-1871.234,-1949.844,-1870.728,-1793.918,778.977,1.005,"lp__"
0.954,0.911,0.954,0.998,1915.496,1.001,"B_0"
0.252,0.217,0.252,0.285,2402.594,1,"psi"
0.224,0.185,0.224,0.265,1097.479,1.001,"Sigma2_intercept"
0.006,0,0.004,0.024,257.337,1,"Sigma2_epsilon"
0.07,0.052,0.069,0.093,538.45,1,"Sigma2_phi"
0.97,0.97,0.97,0.97,0.5,1,"Sigma2_x"
0.045,0.029,0.045,0.065,1537.135,1,"cov_int_phi"
0.006,-0.009,0.005,0.026,1303.398,1,"cov_2"
0.697,0.658,0.696,0.739,1217.239,1,"Sigma2_e"
-1826.455,-1902.619,-1826.359,-1751.684,597.483,1,"lp__"
0.98,0.938,0.98,1.023,1647.344,1,"B_0"
0.309,0.277,0.309,0.34,2854.718,1,"psi"
0.215,0.178,0.214,0.256,1483.532,1,"Sigma2_intercept"
0.012,0,0.01,0.036,244.917,1,"Sigma2_epsilon"
0.12,0.095,0.119,0.152,440.237,1,"Sigma2_phi"
1.11,1.11,1.11,1.11,0.5,1,"Sigma2_x"
0.054,0.035,0.053,0.073,2160.276,1.001,"cov_int_phi"
0.003,-0.015,0.003,0.023,1828.554,1.001,"cov_2"
0.692,0.65,0.691,0.734,782.852,1,"Sigma2_e"
-1812.375,-1892.917,-1813.319,-1722.541,413.736,1,"lp__"
0.993,0.945,0.993,1.04,3269.213,1.001,"B_0"
0.285,0.251,0.285,0.319,3638.157,1,"psi"
0.244,0.202,0.244,0.291,1435.467,1,"Sigma2_intercept"
0.015,0,0.013,0.039,596.425,1.001,"Sigma2_epsilon"
0.111,0.085,0.111,0.143,1016.142,1.001,"Sigma2_phi"
1.085,1.085,1.085,1.085,0.5,1,"Sigma2_x"
0.069,0.047,0.069,0.093,1802.014,1,"cov_int_phi"
0.019,-0.002,0.019,0.044,1650.626,1,"cov_2"
0.717,0.672,0.716,0.762,1526.057,1,"Sigma2_e"
-1869.263,-1951.422,-1869.892,-1786.339,685.853,1,"lp__"
