"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.05,0.885,1.05,1.204,2422.866,1,"B_0"
"2",0.092,-0.099,0.091,0.29,2033.154,1,"B_x"
"3",0.314,0.179,0.315,0.442,1029.441,1,"psi"
"4",0.245,0.146,0.24,0.369,1745.46,1.004,"Sigma2_intercept"
"5",0.071,0.019,0.067,0.145,1545.067,1.001,"Sigma2_psi"
"6",0.975,0.736,0.959,1.296,1450.869,1,"Sigma2_x"
"7",0.015,0,0.008,0.064,1014.845,1,"Sigma2_epsilon"
"8",0.111,0.048,0.108,0.198,2702.806,1,"Sigma2_phi"
"9",-0.044,-0.101,-0.042,0.005,2558.72,1,"cov_int_psi"
"10",0.075,0.027,0.073,0.138,2357.177,1,"cov_int_phi"
"11",-0.033,-0.071,-0.032,-0.002,1347.63,1.002,"cov_psi_phi"
"12",-0.044,-0.101,-0.042,0.005,2558.72,1,"cov_1"
"13",0,-0.034,0,0.035,3087.652,1.001,"cov_2"
"14",0.001,-0.017,0,0.022,3310.227,1,"cov_3"
"15",0.239,0.122,0.236,0.379,1874.318,1,"cov_4"
"16",-0.109,-0.212,-0.105,-0.023,1204.618,1.003,"cov_5"
"17",-0.001,-0.087,0,0.089,439.15,1.001,"cov_6"
"18",0.531,0.44,0.529,0.639,2008.132,1,"Sigma2_e"
"19",0.095,0.082,0.095,0.112,3232.907,1,"Sigma2_ex"
"20",-11.835,-54.221,-11.346,30.16,797.81,1.005,"lp_"
"21",0.977,0.818,0.978,1.124,2207.282,1,"B_0"
"22",-0.06,-0.252,-0.06,0.133,2112.912,1,"B_x"
"23",0.268,0.088,0.27,0.435,764.889,1,"psi"
"24",0.228,0.133,0.223,0.353,2341.623,1.001,"Sigma2_intercept"
"25",0.079,0.023,0.073,0.165,1829.341,1,"Sigma2_psi"
"26",0.843,0.641,0.829,1.121,1945.508,1,"Sigma2_x"
"27",0.031,0,0.023,0.105,942.029,1,"Sigma2_epsilon"
"28",0.093,0.033,0.088,0.181,1717.372,1,"Sigma2_phi"
"29",-0.07,-0.138,-0.067,-0.017,2419.556,1,"cov_int_psi"
"30",0.046,-0.009,0.045,0.102,1959.897,1,"cov_int_phi"
"31",-0.026,-0.066,-0.025,0.008,1177.724,1.001,"cov_psi_phi"
"32",-0.07,-0.138,-0.067,-0.017,2419.556,1,"cov_1"
"33",-0.013,-0.068,-0.01,0.026,1903.226,1,"cov_2"
"34",0.001,-0.029,0.001,0.032,2034.727,1,"cov_3"
"35",0.22,0.115,0.216,0.347,1958.343,1,"cov_4"
