"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.029,0.815,1.033,1.227,527.882,1,"B_0"
"2",0.095,-0.199,0.092,0.392,504.652,1,"B_x"
"3",0.349,0.206,0.349,0.492,484.455,1.002,"psi"
"4",0.175,0.098,0.17,0.287,882.363,1,"Sigma2_intercept"
"5",0.09,0.051,0.087,0.146,1746.515,1,"Sigma2_psi"
"6",1.161,0.805,1.14,1.654,1123.834,1,"Sigma2_x"
"7",0.025,0.002,0.023,0.061,1297.087,1,"Sigma2_epsilon"
"8",0.163,0.083,0.157,0.28,1047.561,1.001,"Sigma2_phi"
"9",-0.068,-0.124,-0.066,-0.025,779.149,1,"cov_int_psi"
"10",0.078,0.02,0.075,0.156,739.842,1,"cov_int_phi"
"11",-0.081,-0.135,-0.079,-0.044,995.87,1,"cov_psi_phi"
"12",-0.068,-0.124,-0.066,-0.025,779.149,1,"cov_1"
"13",-0.014,-0.053,-0.013,0.019,1028.51,1.002,"cov_2"
"14",-0.01,-0.04,-0.009,0.014,951.744,1.003,"cov_3"
"15",0.262,0.129,0.257,0.433,848.457,1,"cov_4"
"16",-0.206,-0.33,-0.2,-0.112,1141.874,1,"cov_5"
"17",-0.004,-0.123,-0.003,0.115,369.81,1.008,"cov_6"
"18",0.586,0.527,0.585,0.652,4273.828,1,"Sigma2_e"
"19",0.098,0.088,0.098,0.108,5990.32,1,"Sigma2_ex"
"20",231.965,201.996,232.241,259.59,909.643,1.001,"lp_"
"21",1.034,0.845,1.034,1.214,957.732,1.001,"B_0"
"22",0.053,-0.222,0.051,0.339,1004.814,1,"B_x"
"23",0.274,0.151,0.273,0.403,814.097,1,"psi"
"24",0.234,0.139,0.227,0.365,1374.829,1.001,"Sigma2_intercept"
"25",0.088,0.047,0.085,0.148,2460.105,1,"Sigma2_psi"
"26",0.984,0.664,0.961,1.441,1493.098,1,"Sigma2_x"
"27",0.009,0,0.005,0.036,1135.072,1,"Sigma2_epsilon"
"28",0.082,0.031,0.077,0.16,1727.551,1,"Sigma2_phi"
"29",-0.063,-0.123,-0.061,-0.017,1773.663,1,"cov_int_psi"
